first_use_any_dt,first_use_any_dt_raw,first_use_com_dt,first_use_com_dt_raw,class_intl_count,class_primary_cd,class_status_cd,class_status_dt,class_us_count,class_id,serial_no
1894-09-21,18940921,1894-09-21,18940921,1,001,9,1983-03-01,1,162,70026109
1894-09-21,18940921,1894-09-21,18940921,1,046,9,1983-03-01,1,163,70026110
1894-10-15,18941015,1894-10-15,18941015,1,018,9,1984-09-12,1,164,70026127
1894-12-01,18941201,1894-12-01,18941201,1,046,9,2005-12-10,1,165,70026186
1891-06-16,18910616,1891-06-16,18910616,1,046,9,2005-12-24,1,166,70026252
1891-06-16,18910616,1891-06-16,18910616,1,046,6,1999-11-02,1,167,70026253
1891-06-16,18910616,1891-06-16,18910616,1,046,9,2005-12-24,1,168,70026254
1895-01-02,18950102,1895-01-02,18950102,1,026,2,2006-02-14,1,169,70026342
,18530000,,18530000,1,046,9,1983-03-01,1,170,70026355
1894-08-24,18940824,1894-08-24,18940824,1,046,9,2006-01-28,1,171,70026462
,18580000,,18580000,1,017,9,2006-01-28,1,172,70026468
,18851200,,18851200,1,025,9,1983-03-01,1,173,70026528
1895-03-15,18950315,1895-03-15,18950315,1,046,9,1983-03-01,1,174,70026553
1895-01-15,18950115,1895-01-15,18950115,1,046,9,1983-03-01,1,175,70026613
1895-04-10,18950410,,0,1,016,9,1983-03-01,1,176,70026717
1895-02-09,18950209,1895-02-09,18950209,1,048,6,1999-11-02,1,177,70026749
,18620000,,18620000,1,046,9,2006-04-22,1,178,70026824
,0,,0,1,042,9,1985-07-22,1,179,70026893
1895-05-01,18950501,1895-05-01,18950501,1,023,9,1983-03-01,1,180,70026912
,18950200,,18950200,1,046,9,1983-03-01,1,181,70027056
,18950200,,18950200,1,046,9,2006-06-24,1,182,70027057
1895-07-15,18950715,1895-07-15,18950715,1,034,9,2006-07-15,1,183,70027112
,18920000,,18920000,1,046,9,1983-03-01,1,184,70027138
,18941200,,18941200,1,006,9,1986-05-13,1,185,70027165
,18780000,,18780000,1,017,9,1983-03-01,1,187,70027269
